343

Ar1	-2.28006	-1.31625	-0.930756
Ar2	-1.90004	-1.31632	-0.930865
Ar3	-1.52002	-1.31645	-0.930751
Ar4	-1.13997	-1.31638	-0.930772
Ar5	-0.759933	-1.31638	-0.930861
Ar6	-0.379948	-1.31646	-0.930883
Ar7	8.79973e-005	-1.31643	-0.930763
Ar8	-2.09008	-0.987305	-0.930859
Ar9	-1.71004	-0.987373	-0.93086
Ar10	-1.33004	-0.98721	-0.930849
Ar11	-0.949965	-0.987204	-0.930826
Ar12	-0.569973	-0.9874	-0.930878
Ar13	-0.189944	-0.987209	-0.930764
Ar14	0.190101	-0.987314	-0.930741
Ar15	-1.90004	-0.658207	-0.930725
Ar16	-1.52002	-0.658305	-0.930747
Ar17	-1.14012	-0.658142	-0.930867
Ar18	-0.759959	-0.658203	-0.93072
Ar19	-0.380007	-0.658159	-0.930724
Ar20	-3.51123e-005	-0.658234	-0.930903
Ar21	0.379944	-0.658298	-0.930823
Ar22	-1.71008	-0.329134	-0.930709
Ar23	-1.3299	-0.329051	-0.93077
Ar24	-0.949912	-0.329074	-0.930868
Ar25	-0.570092	-0.329158	-0.930834
Ar26	-0.190049	-0.329022	-0.930828
Ar27	0.190028	-0.329023	-0.93074
Ar28	0.569914	-0.329006	-0.930884
Ar29	-1.52006	-7.6295e-005	-0.930738
Ar30	-1.14008	0.000112576	-0.930853
Ar31	-0.760021	-8.75914e-005	-0.930746
Ar32	-0.380101	5.69142e-005	-0.930874
Ar33	4.5716e-005	-4.63763e-005	-0.930774
Ar34	0.380033	5.62909e-005	-0.930746
Ar35	0.760022	6.60686e-005	-0.930892
Ar36	-1.32996	0.329144	-0.930794
Ar37	-0.949939	0.329051	-0.93075
Ar38	-0.569942	0.329112	-0.930824
Ar39	-0.190005	0.329106	-0.93069
Ar40	0.190165	0.328925	-0.930737
Ar41	0.569974	0.329109	-0.93088
Ar42	0.950052	0.329001	-0.930867
Ar43	-1.13996	0.65827	-0.930864
Ar44	-0.759935	0.65813	-0.930875
Ar45	-0.379922	0.65825	-0.930749
Ar46	1.39601e-005	0.658128	-0.930894
Ar47	0.380073	0.658179	-0.93089
Ar48	0.760089	0.65822	-0.930841
Ar49	1.14004	0.658311	-0.930826
Ar50	-2.09005	-1.20674	-0.620561
Ar51	-1.70995	-1.20656	-0.620486
Ar52	-1.33009	-1.20658	-0.62058
Ar53	-0.950052	-1.20677	-0.620422
Ar54	-0.570042	-1.20671	-0.620566
Ar55	-0.190064	-1.20671	-0.620542
Ar56	0.190019	-1.20664	-0.620579
Ar57	-1.89987	-0.877625	-0.620511
Ar58	-1.51996	-0.877633	-0.620528
Ar59	-1.13994	-0.87763	-0.620437
Ar60	-0.759903	-0.877515	-0.620616
Ar61	-0.380057	-0.877492	-0.620489
Ar62	5.4173e-005	-0.877637	-0.620517
Ar63	0.380036	-0.877623	-0.620615
Ar64	-1.71002	-0.548409	-0.620582
Ar65	-1.32997	-0.548439	-0.620608
Ar66	-0.949905	-0.548493	-0.620484
Ar67	-0.570097	-0.548606	-0.620557
Ar68	-0.189947	-0.54846	-0.620652
Ar69	0.189962	-0.548386	-0.620576
Ar70	0.570063	-0.548397	-0.620396
Ar71	-1.52011	-0.219448	-0.620566
Ar72	-1.13991	-0.219298	-0.620456
Ar73	-0.759959	-0.219316	-0.620442
Ar74	-0.379978	-0.219538	-0.620508
Ar75	-4.4956e-005	-0.219272	-0.620495
Ar76	0.37997	-0.219382	-0.620559
Ar77	0.760069	-0.219497	-0.620627
Ar78	-1.33003	0.109701	-0.620631
Ar79	-0.950047	0.109662	-0.620459
Ar80	-0.570037	0.109724	-0.620457
Ar81	-0.189971	0.109783	-0.620576
Ar82	0.190037	0.109769	-0.620512
Ar83	0.570097	0.109776	-0.620597
Ar84	0.94994	0.10964	-0.620547
Ar85	-1.14006	0.438832	-0.620567
Ar86	-0.759948	0.438797	-0.620501
Ar87	-0.380026	0.438809	-0.620603
Ar88	-3.41514e-005	0.438835	-0.620613
Ar89	0.380089	0.438747	-0.620562
Ar90	0.760041	0.438849	-0.620477
Ar91	1.1401	0.438704	-0.620467
Ar92	-0.950062	0.767808	-0.620577
Ar93	-0.5699	0.767907	-0.620575
Ar94	-0.190008	0.767936	-0.620485
Ar95	0.189926	0.767916	-0.620585
Ar96	0.570064	0.767846	-0.620595
Ar97	0.949951	0.767906	-0.620541
Ar98	1.33003	0.767916	-0.620559
Ar99	-1.89995	-1.09696	-0.310209
Ar100	-1.51992	-1.09692	-0.310326
Ar101	-1.13998	-1.09705	-0.310187
Ar102	-0.759969	-1.09705	-0.310234
Ar103	-0.379955	-1.09701	-0.310288
