t    H   V   K   T   P
0  -1744.32 -2098.11   353.79   82.7483 0
0.005  -1744.32 -2097.43   353.105   82.5881 0
0.01  -1744.32 -2096.06   351.739   82.2687 0
0.015  -1744.32 -2094.02   349.696   81.7908 0
0.02  -1744.32 -2091.3   346.978   81.1551 0
0.025  -1744.32 -2087.91   343.588   80.3621 0
0.03  -1744.32 -2083.85   339.53   79.413 0
0.035  -1744.32 -2079.13   334.809   78.3089 0
0.04  -1744.32 -2073.76   329.434   77.0516 0
0.045  -1744.32 -2067.74   323.413   75.6434 0
0.05  -1744.32 -2061.08   316.761   74.0876 0
0.055  -1744.32 -2053.82   309.497   72.3885 0
0.06  -1744.32 -2045.97   301.643   70.5517 0
0.065  -1744.32 -2037.55   293.232   68.5843 0
0.07  -1744.32 -2028.62   284.302   66.4956 0
0.075  -1744.32 -2019.22   274.9   64.2967 0
0.08  -1744.32 -2009.41   265.086   62.0013 0
0.085  -1744.32 -1999.25   254.929   59.6256 0
0.09  -1744.32 -1988.83   244.508   57.1883 0
0.095  -1744.32 -1978.24   233.917   54.711 0
0.1  -1744.32 -1967.58   223.255   52.2173 0
0.105  -1744.32 -1956.95   212.633   49.7329 0
0.11  -1744.32 -1946.49   202.166   47.2848 0
0.115  -1744.32 -1936.29   191.971   44.9004 0
0.12  -1744.32 -1926.49   182.165   42.6067 0
0.125  -1744.32 -1917.18   172.856   40.4294 0
0.13  -1744.32 -1908.47   164.143   38.3917 0
0.135  -1744.32 -1900.44   156.115   36.5139 0
0.14  -1744.32 -1893.16   148.84   34.8125 0
0.145  -1744.32 -1886.7   142.374   33.3 0
0.15  -1744.32 -1881.07   136.751   31.9847 0
0.155  -1744.32 -1876.31   131.989   30.871 0
0.16  -1744.32 -1872.41   128.089   29.9589 0
0.165  -1744.32 -1869.36   125.037   29.2451 0
0.17  -1744.32 -1867.13   122.804   28.7227 0
0.175  -1744.32 -1865.67   121.347   28.3819 0
0.18  -1744.32 -1864.93   120.613   28.2104 0
0.185  -1744.32 -1864.86   120.542   28.1938 0
0.19  -1744.32 -1865.39   121.066   28.3162 0
0.195  -1744.32 -1866.43   122.111   28.5607 0
0.2  -1744.32 -1867.93   123.604   28.9098 0
0.205  -1744.32 -1869.79   125.467   29.3457 0
0.21  -1744.32 -1871.95   127.628   29.851 0
0.215  -1744.32 -1874.34   130.013   30.4089 0
0.22  -1744.32 -1876.88   132.556   31.0036 0
0.225  -1744.32 -1879.51   135.192   31.6202 0
0.23  -1744.32 -1882.19   137.865   32.2454 0
0.235  -1744.32 -1884.84   140.522   32.8669 0
0.24  -1744.32 -1887.44   143.119   33.4744 0
0.245  -1744.32 -1889.94   145.617   34.0586 0
0.25  -1744.32 -1892.31   147.983   34.6119 0
0.255  -1744.32 -1894.51   150.191   35.1283 0
0.26  -1744.32 -1896.54   152.22   35.6029 0
0.265  -1744.32 -1898.38   154.056   36.0322 0
0.27  -1744.32 -1900.01   155.688   36.414 0
0.275  -1744.32 -1901.43   157.112   36.7471 0
0.28  -1744.32 -1902.65   158.327   37.0313 0
0.285  -1744.32 -1903.66   159.337   37.2675 0
0.29  -1744.32 -1904.47   160.148   37.4571 0
0.295  -1744.32 -1905.09   160.77   37.6025 0
0.3  -1744.32 -1905.54   161.214   37.7065 0
0.305  -1744.32 -1905.82   161.494   37.7721 0
0.31  -1744.32 -1905.95   161.626   37.8029 0
0.315  -1744.32 -1905.95   161.625   37.8027 0
0.32  -1744.32 -1905.83   161.507   37.7751 0
0.325  -1744.32 -1905.61   161.289   37.7239 0
0.33  -1744.32 -1905.31   160.984   37.6528 0
0.335  -1744.32 -1904.93   160.61   37.5651 0
0.34  -1744.32 -1904.5   160.178   37.4642 0
0.345  -1744.32 -1904.02   159.702   37.3528 0
0.35  -1744.32 -1903.52   159.193   37.2338 0
0.355  -1744.32 -1902.98   158.662   37.1096 0
0.36  -1744.32 -1902.44   158.117   36.9822 0
0.365  -1744.32 -1901.89   157.567   36.8536 0
0.37  -1744.32 -1901.34   157.019   36.7254 0
0.375  -1744.32 -1900.8   156.479   36.5991 0
0.38  -1744.32 -1900.28   155.953   36.4761 0
0.385  -1744.32 -1899.77   155.446   36.3575 0
0.39  -1744.32 -1899.28   154.962   36.2443 0
0.395  -1744.32 -1898.83   154.505   36.1374 0
0.4  -1744.32 -1898.4   154.079   36.0378 0
0.405  -1744.32 -1898.01   153.687   35.946 0
0.41  -1744.32 -1897.65   153.331   35.8628 0
0.415  -1744.32 -1897.34   153.014   35.7886 0
0.42  -1744.32 -1897.06   152.737   35.7239 0
0.425  -1744.32 -1896.82   152.503   35.669 0
0.43  -1744.32 -1896.63   152.31   35.624 0
0.435  -1744.32 -1896.48   152.16   35.5888 0
0.44  -1744.32 -1896.37   152.051   35.5634 0
0.445  -1744.32 -1896.3   151.982   35.5472 0
0.45  -1744.32 -1896.27   151.95   35.5397 0
0.455  -1744.32 -1896.27   151.951   35.5399 0
0.46  -1744.32 -1896.3   151.981   35.547 0
0.465  -1744.32 -1896.36   152.035   35.5597 0
0.47  -1744.32 -1896.43   152.108   35.5766 0
0.475  -1744.32 -1896.51   152.192   35.5963 0
0.48  -1744.32 -1896.6   152.282   35.6173 0
0.485  -1744.32 -1896.69   152.371   35.6382 0
0.49  -1744.32 -1896.78   152.453   35.6574 0
0.495  -1744.32 -1896.85   152.523   35.6739 0
0.5  -1744.32 -1896.9   152.577   35.6864 0
0.505  -1744.32 -1896.93   152.611   35.6943 0
0.51  -1744.32 -1896.94   152.622   35.697 0
0.515  -1744.32 -1896.93   152.61   35.6942 0
0.52  -1744.32 -1896.9   152.576   35.6861 0
0.525  -1744.32 -1896.84   152.52   35.673 0
0.53  -1744.32 -1896.77   152.446   35.6558 0
0.535  -1744.32 -1896.68   152.358   35.6352 0
0.54  -1744.32 -1896.58   152.261   35.6124 0
0.545  -1744.32 -1896.48   152.159   35.5886 0
0.55  -1744.32 -1896.38   152.059   35.5652 0
0.555  -1744.32 -1896.29   151.965   35.5432 0
0.56  -1744.32 -1896.2   151.883   35.524 0
0.565  -1744.32 -1896.14   151.816   35.5085 0
0.57  -1744.32 -1896.09   151.769   35.4974 0
